User ID,Predicted User Category,Recommended News Category,Recommended Article
U4058,user_3,Crime,Prisoner Takes Down Fellow Inmate During Vicious Attack On Officer
U1118,user_1,Entertainment,Gwyneth Paltrow Shines In Mermaid Dress At Environmental Media Awards
U6555,user_1,Entertainment,Laverne Cox Wants To Reframe Narrative Around Transgender Rights With New Project
U9170,user_1,Entertainment,The Trailer For Netflix's 'Richie Rich' Reboot Is Here
U3348,user_1,Entertainment,Khloe Kardashian Is Looking For A Cuddle Buddy
U2244,user_3,Crime,New York Police Link Hate Crime Surge To Presidential Campaign
U3022,user_3,Crime,Baltimore Cop Accused Of Planting Drugs In Body Cam Video Indicted
U5291,user_1,Entertainment,John Oliver Is Suddenly Very Angry About 1 Key Point In The ‘Da Vinci Code'
U1945,user_3,Crime,Group Files Complaint Against Judge Who Sentenced Man To Marry Girlfriend
U6084,user_3,Crime,Florida Cop Accused Of Stealing Money From DUI Suspects
U3714,user_2,Education,A Plan For Education
U0498,user_2,Education,Kids First! Be a #KidVoter
U4264,user_3,Crime,1-Month-Old's Face Mauled By Ferrets In Philadelphia Home
U8953,user_1,Entertainment,Emma Stone Debuts Oscar-Worthy Britney Spears Impression For Vogue's 73 Questions
U3285,user_3,Crime,Donations Pour In For Missouri Man Freed After 43 Years Of Wrongful Imprisonment
U0969,user_2,Education,"An Interview with a Revolutionary, Professor Peter McLaren"
U0173,user_3,Crime,"Car Flips 4 Stories From Parking Garage, Driver Escapes Without Serious Injuries"
U9103,user_1,Entertainment,'Anchorman 2' Gag Reel Might Just Be The Best Part Of The Movie
U8708,user_3,Crime,"Hannah Truelove Case: Cops Seek Suspect, Vehicle In Violent Murder As Dad, Jeff, Speaks Out"
U3330,user_2,Education,Girls Reportedly Bleeding Through Pants Due To Charter School Bathroom Policy
U3257,user_1,Entertainment,Tom Hiddleston Swears Taylor Swift Romance Was Legit
U1008,user_1,Entertainment,You Are Going To Want To Listen To Lisa Loeb Sing 'This Old Man'
U4124,user_2,Education,How Recent Grads Can Avoid The Most Common Entry-Level Mistakes
U9836,user_2,Education,Taking Control Of You and Your Journey
U2898,user_1,Entertainment,Channing Tatum Fangirling Over Simone Biles Is The Sweetest Thing You'll See Today
U4765,user_1,Entertainment,Katy Perry & John Mayer Got Cozy At A Grateful Dead Concert
U2663,user_2,Education,What If You Could Learn Like a Jedi
U4905,user_3,Crime,"Sandusky Trial: Molestation Case Against Former Coach Still Anyone's Game, Lawyer Says"
U0669,user_3,Crime,"Woman Beats Cancer, Dies Falling From Horse"
U0607,user_2,Education,The Simple Way A Growing Number Of States Are Hoping To Improve Kids' Brains
U1623,user_3,Crime,2 University Students Shot Dead At House Party
U9607,user_3,Crime,A Deadly Secret: States Refuse to Share the Source of Lethal Injection Drugs in Executions
